2	898	449	224	2
3	1461	487	243	2
4	1812	453	226	2
5	2155	431	215	2
6	2382	397	198	2
7	2779	397	198	2
8	3048	381	190	2
9	3303	367	183	2
10	3650	365	182	2
11	3795	345	172	2
12	4260	355	177	2
13	4589	353	176	2
14	4914	351	175	2
15	4995	333	166	2
16	5136	321	160	2
17	5525	325	162	2
18	5670	315	157	2
19	5871	309	154	2
20	5700	285	142	2
21	6069	289	144	2
22	6358	289	144	2
23	6555	285	142	2
24	6600	275	137	2
25	6275	251	125	2
26	6214	239	119	2
27	6453	239	119	2
28	6412	229	114	2
29	6293	217	108	2
30	6570	219	109	2
31	6727	217	108	2
32	6816	213	106	2
33	6963	211	105	2
34	7106	209	104	2
35	7245	207	103	2
36	7452	207	103	2
37	7733	209	104	2
38	7866	207	103	2
39	8073	207	103	2
40	8200	205	102	2
41	8487	207	103	2
42	8694	207	103	2
43	8901	207	103	2
44	8844	201	100	2
45	9135	203	101	2
46	9522	207	103	2
47	9635	205	102	2
48	9840	205	102	2
49	9947	203	101	2
50	10150	203	101	2
51	10251	201	100	2
52	10452	201	100	2
53	10653	201	100	2
54	10746	199	99	2
55	11165	203	101	2
56	11256	201	100	2
57	11343	199	99	2
58	11542	199	99	2
59	11741	199	99	2
60	11940	199	99	2
61	12017	197	98	2
62	12214	197	98	2
63	12411	197	98	2
64	12608	197	98	2
65	12675	195	97	2
66	12870	195	97	2
67	12931	193	96	2
68	13396	197	98	2
69	13455	195	97	2
70	13370	191	95	2
71	13845	195	97	2
72	14040	195	97	2
73	13651	187	93	2
74	13986	189	94	2
75	14325	191	95	2
76	14516	191	95	2
77	14399	187	93	2
78	14586	187	93	2
79	14931	189	94	2
80	14960	187	93	2
81	14985	185	92	2
82	15006	183	91	2
83	15355	185	92	2
84	15204	181	90	2
85	15725	185	92	2
86	15394	179	89	2
87	15921	183	91	2
88	15928	181	90	2
89	16465	185	92	2
90	16290	181	90	2
91	16471	181	90	2
92	16652	181	90	2
93	16647	179	89	2
94	16638	177	88	2
95	17005	179	89	2
96	17184	179	89	2
97	17169	177	88	2
98	17150	175	87	2
99	17721	179	89	2
100	17700	177	88	2
