0.3	-0.489228337557276
0.4	-0.48145489301095
0.5	-0.472134576662476
0.6	-0.461636516136403
0.7	-0.45031431030238
0.8	-0.438470615826142
0.9	-0.426368671311243
1	-0.414208239230934
1.1	-0.402146172411667
1.2	-0.390295401853687
1.3	-0.378725004811882
1.4	-0.367562249467397
1.5	-0.356704913725269
1.6	-0.346356696399007
1.7	-0.336190054396208
1.8	-0.326727238823267
1.9	-0.317644662091237
2	-0.308231159305099
2.1	-0.300078324564992
2.2	-0.292242799112324
2.3	-0.28472404729693
2.4	-0.277516204922526
2.5	-0.268062484748657
2.6	-0.261843339251899
2.7	-0.255831945242877
2.8	-0.250029659018401
2.9	-0.244434690569611
3	-0.239043090985111
3.1	-0.233849462776778
3.2	-0.22884747199274
3.3	-0.224030217546257
3.4	-0.207612456747405
3.5	-0.204081632653061
3.6	-0.200617283950617
3.7	-0.197224251278305
3.8	-0.193905817174515
3.9	-0.190664036817883
