0.02	3.08607514543091E-10	1.02318803405638E-07
0.04	1.44221641573683E-10	1.38210740865952E-07
0.06	3.86473061886328E-10	1.30481638396795E-07
0.08	1.60773630519806E-10	9.60585434389705E-08
0.1	1.28494298534676E-11	4.96221954915388E-08
0.2	2.05236966310807E-10	1.31141684123204E-07
0.3	4.54620452394749E-10	7.62709882473622E-08
0.4	4.42589298543794E-11	6.84672844530887E-08
0.5	1.89690041452195E-10	1.38304747210327E-07
0.6	1.57637569664359E-10	9.38494372215715E-08
0.7	1.53477119901879E-10	1.21438969991061E-08
0.8	2.57087573451997E-10	1.05257808136194E-07
0.9	9.37957489455243E-10	1.37086331952752E-07
1	1.71871538112711E-08	1.03252410066368E-07
1.1	7.65146113135273E-09	2.67964042066637E-08
1.2	3.94181864926679E-09	5.75062124585912E-08
1.3	2.10569350844736E-09	1.17438551994198E-07
1.4	1.43921952133752E-09	1.38268515414985E-07
1.5	6.82802248075376E-09	1.2040297203697E-07
1.6	4.07206535157911E-09	7.28062898858184E-08
1.7	1.80803305660504E-09	1.12076063985E-08
1.8	7.91678389511219E-10	4.81884736558413E-08
1.9	4.30924840255642E-09	9.50233592922345E-08
2	2.31263492800338E-08	1.25418781138364E-07
2.1	1.23747804225971E-08	1.37559241997209E-07
2.2	2.03938685383598E-07	1.35788811861381E-07
2.3	3.83652398738832E-09	1.22237684085924E-07
2.4	3.95146504406085E-09	1.03881994784061E-07
2.5	4.7415680837215E-07	8.34633940849372E-08
3	1.02450905536955E-08	1.51488978028524E-08
3.5	7.16281234325322E-09	1.21713605860663E-09
